,NCESSCH,TITLEI,LEAID,G12,SCHOOL_LEVEL,TOTFRL,FTE,STUTERATIO,TOTMENROL,TOTFENROL,PCT_MEN,PCT_FEN,PCT_FRL,SCHOOL_TYPE,STNAM,FIPST,ALL_RATE,ALL_COHORT,MAM_COHORT,MAS_COHORT,MBL_COHORT,MHI_COHORT,MTR_COHORT,MWH_COHORT,CWD_COHORT,ECD_COHORT,FCS_COHORT,HOM_COHORT,LEP_COHORT,Success_Rate,PPCSTOT,MATH_NUM,MATH_PCT,READ_NUM,READ_PCT
3268,110003000264,Not Applicable,1100030,85,High,-1,21.73999977,19.6,254,172,0.5962441315,0.5962441315,0.00234741784,0,DISTRICT OF COLUMBIA,11,6,169,0,0,80,88,1,0,36,158,9,21,77,0,22406,24,20,19,20
3269,110003000267,Not Applicable,1100030,139,High,-1,43.5,14.6,267,366,0.4218009479,0.4218009479,0.001579778831,1,DISTRICT OF COLUMBIA,11,95,143,2,3,122,14,2,0,9,57,2,6,5,1,22406,185,30,171,65
3270,110003000008,Not Applicable,1100030,112,High,-1,60,10.8,375,270,0.5813953488,0.5813953488,0.001550387597,1,DISTRICT OF COLUMBIA,11,60,164,0,1,84,77,1,1,29,126,9,26,59,0,22406,139,5,136,6
3271,110003000016,Not Applicable,1100030,110,High,-1,4,136.3,171,374,0.3137614679,0.3137614679,0.001834862385,1,DISTRICT OF COLUMBIA,11,95,114,0,4,86,13,2,9,15,44,4,5,1,1,22406,145,15,141,55
3272,110003000055,Not Applicable,1100030,136,High,-1,47,9.7,268,187,0.589010989,0.589010989,0.002197802198,1,DISTRICT OF COLUMBIA,11,65,180,0,0,174,6,0,0,36,137,12,15,1,0,22406,98,6,94,15
3273,110003000078,Not Applicable,1100030,168,High,-1,57.5,12.9,353,391,0.4744623656,0.4744623656,0.001344086022,1,DISTRICT OF COLUMBIA,11,75,189,1,1,183,3,0,1,44,133,11,19,4,1,22406,139,5,131,25
3274,110003000079,Not Applicable,1100030,114,High,-1,49.5,13.5,334,333,0.5007496252,0.5007496252,0.001499250375,1,DISTRICT OF COLUMBIA,11,75,166,0,1,163,2,0,0,29,121,10,18,7,1,22406,225,5,213,15
3275,110003000081,Not Applicable,1100030,93,High,-1,34,9.6,181,146,0.5535168196,0.5535168196,0.003058103976,1,DISTRICT OF COLUMBIA,11,65,115,0,0,85,30,0,0,24,89,10,20,26,0,22406,58,10,61,10
3276,110003000082,Not Applicable,1100030,134,High,-1,76,9.8,415,331,0.5563002681,0.5563002681,0.001340482574,1,DISTRICT OF COLUMBIA,11,53,217,0,1,70,143,0,3,32,174,6,27,116,0,22406,100,5,99,6
3277,110003000084,Not Applicable,1100030,180,High,-1,69,9.4,302,348,0.4646153846,0.4646153846,0.001538461538,1,DISTRICT OF COLUMBIA,11,58,261,0,0,256,5,0,0,60,224,23,29,2,0,22406,121,5,134,5
3278,110003000085,Not Applicable,1100030,65,High,-1,44,6.7,148,148,0.5,0.5,0.003378378378,1,DISTRICT OF COLUMBIA,11,45,104,0,0,101,2,0,1,30,95,9,26,1,0,22406,58,10,52,11
3279,110003000131,Not Applicable,1100030,148,High,-1,37,16,255,337,0.4307432432,0.4307432432,0.001689189189,1,DISTRICT OF COLUMBIA,11,95,147,0,10,51,17,6,63,1,23,0,2,3,1,22406,132,80,137,90
3280,110003000133,Not Applicable,1100030,422,High,-1,117,15.4,952,844,0.5300668151,0.5300668151,0.0005567928731,1,DISTRICT OF COLUMBIA,11,83,501,1,31,171,117,20,161,53,164,3,9,49,1,22406,416,32,441,58
3281,110003000153,Not Applicable,1100030,109,High,-1,30,16.1,135,347,0.2800829876,0.2800829876,0.002074688797,1,DISTRICT OF COLUMBIA,11,95,108,0,3,78,22,1,4,0,29,1,0,2,1,22406,137,80,122,95
3282,110003000198,Not Applicable,1100030,83,High,-1,16,18,138,150,0.4791666667,0.4791666667,0.003472222222,0,DISTRICT OF COLUMBIA,11,10,145,0,1,138,6,0,0,32,141,24,38,4,0,22406,19,20,8,50
