,NCESSCH,TITLEI,LEAID,G12,SCHOOL_LEVEL,TOTFRL,FTE,STUTERATIO,TOTMENROL,TOTFENROL,PCT_MEN,PCT_FEN,PCT_FRL,SCHOOL_TYPE,STNAM,FIPST,ALL_RATE,ALL_COHORT,MAM_COHORT,MAS_COHORT,MBL_COHORT,MHI_COHORT,MTR_COHORT,MWH_COHORT,CWD_COHORT,ECD_COHORT,FCS_COHORT,HOM_COHORT,LEP_COHORT,Success_Rate,PPCSTOT,MATH_NUM,MATH_PCT,READ_NUM,READ_PCT
10560,361938005859,Not Applicable,3619380,84,High,85,27.02000046,11.4,133,175,0.4318181818,0.4318181818,0.275974026,1,NEW YORK,36,95,78,0,1,2,7,3,65,12,25,0,0,0,1,28407,40.50417174,95,50.59406569,95
10561,360585005857,Yes,3605850,135,High,585,51.00999832,14.3,364,366,0.498630137,0.498630137,0.801369863,1,NEW YORK,36,50,152,3,7,123,12,2,5,34,121,0,5,11,0,21573,40.50417174,70,50.59406569,70
10562,360585000297,Yes,3605850,120,High,434,67.01999664,10.8,219,505,0.3024861878,0.3024861878,0.5994475138,1,NEW YORK,36,90,102,1,1,63,13,2,22,11,53,0,6,0,1,21573,40.50417174,75,50.59406569,80
10563,360585000301,Yes,3605850,110,High,396,47.00999832,10.5,331,163,0.6700404858,0.6700404858,0.8016194332,0,NEW YORK,36,45,143,1,7,107,14,3,11,32,111,0,7,5,0,21573,40.50417174,80,50.59406569,65
10564,360585000307,Yes,3605850,97,High,400,47,10.2,160,320,0.3333333333,0.3333333333,0.8333333333,1,NEW YORK,36,80,104,0,1,66,14,2,21,27,78,0,2,2,1,21573,40.50417174,85,50.59406569,85
10565,360585000308,Yes,3605850,143,High,276,75.01999664,14.4,526,557,0.485687904,0.485687904,0.2548476454,1,NEW YORK,36,95,139,0,19,22,11,6,81,11,54,0,0,0,1,21573,40.50417174,95,50.59406569,95
10566,360585000311,Yes,3605850,277,High,727,87.41999817,13.2,552,601,0.4787510841,0.4787510841,0.6305290546,1,NEW YORK,36,88,273,3,39,104,42,5,80,41,156,0,4,2,1,21573,40.50417174,90,50.59406569,95
10567,360585000315,Yes,3605850,248,High,826,88,11.8,581,455,0.5608108108,0.5608108108,0.7972972973,0,NEW YORK,36,78,239,4,19,149,39,2,26,37,185,0,1,11,1,21573,40.50417174,75,50.59406569,85
10568,360585000348,Yes,3605850,104,High,393,62.02000046,13.7,403,445,0.4752358491,0.4752358491,0.4634433962,1,NEW YORK,36,90,106,0,13,53,9,2,29,13,51,0,1,1,1,21573,40.50417174,95,50.59406569,95
10569,360585000375,Yes,3605850,105,High,94,11,9.5,65,40,0.619047619,0.619047619,0.8952380952,1,NEW YORK,36,35,129,4,16,43,47,3,16,27,101,0,2,33,0,21573,40.50417174,55,50.59406569,70
10570,360585000378,Yes,3605850,180,High,625,64.01000214,13.4,467,390,0.544924154,0.544924154,0.7292882147,1,NEW YORK,36,72,241,0,4,76,46,4,111,66,194,0,11,21,1,21573,40.50417174,65,50.59406569,80
10571,360585003275,Yes,3605850,87,High,238,23,16.5,115,264,0.3034300792,0.3034300792,0.6279683377,1,NEW YORK,36,95,96,1,9,35,14,1,36,6,56,0,2,4,1,21573,40.50417174,95,50.59406569,95
10572,360585005939,Yes,3605850,169,High,682,74.01999664,10.8,395,403,0.4949874687,0.4949874687,0.8546365915,1,NEW YORK,36,65,179,2,46,78,34,2,17,27,149,0,4,35,0,21573,40.50417174,75,50.59406569,70
10573,360585006262,Yes,3605850,27,High,113,27.01000023,5.1,75,63,0.5434782609,0.5434782609,0.8188405797,0,NEW YORK,36,6,87,1,0,64,13,3,6,26,54,0,6,8,0,21573,40.50417174,60,50.59406569,60
10574,360585006353,Yes,3605850,81,High,227,28.02000046,11.6,142,182,0.4382716049,0.4382716049,0.700617284,1,NEW YORK,36,90,65,0,1,49,13,0,2,7,46,0,3,0,1,21573,40.50417174,75,50.59406569,80
10575,360585006596,Yes,3605850,63,High,233,32.00999832,8.2,129,132,0.4942528736,0.4942528736,0.8927203065,1,NEW YORK,36,15,113,0,12,63,19,3,16,16,96,0,9,21,0,21573,40.50417174,80,50.59406569,70
10576,362475005856,Yes,3624750,121,High,524,47.50999832,12,270,299,0.474516696,0.474516696,0.920913884,1,NEW YORK,36,55,165,0,0,102,50,0,13,31,139,1,5,13,0,26363,40.50417174,70,50.59406569,75
10577,362475003363,Yes,3624750,159,High,571,86.23000336,7.8,343,327,0.5119402985,0.5119402985,0.852238806,1,NEW YORK,36,61,203,0,6,102,78,1,16,20,183,0,11,41,0,26363,40.50417174,80,50.59406569,85
10578,362475003371,Yes,3624750,136,High,787,76.84999847,10.9,410,424,0.4916067146,0.4916067146,0.9436450839,1,NEW YORK,36,45,169,1,1,68,94,0,5,31,155,0,5,60,0,26363,40.50417174,70,50.59406569,65
10579,362475003420,Yes,3624750,64,High,231,24.39999962,11,107,161,0.3992537313,0.3992537313,0.8619402985,1,NEW YORK,36,80,57,0,4,30,17,0,6,9,48,0,1,2,1,26363,40.50417174,50,50.59406569,80
10580,362475003422,Yes,3624750,183,High,656,67.65000153,11.5,338,438,0.4355670103,0.4355670103,0.8453608247,1,NEW YORK,36,55,187,0,11,130,24,1,21,41,151,2,14,17,0,26363,40.50417174,70,50.59406569,75
10581,362475004787,Yes,3624750,191,High,762,88.68000031,12.7,411,719,0.3637168142,0.3637168142,0.6743362832,1,NEW YORK,36,90,177,1,8,73,44,0,51,16,114,0,3,2,1,26363,40.50417174,90,50.59406569,95
10582,362475006177,Yes,3624750,61,High,295,30.35000038,10.8,147,181,0.4481707317,0.4481707317,0.8993902439,1,NEW YORK,36,85,106,0,8,75,16,0,7,13,88,0,1,9,1,26363,40.50417174,80,50.59406569,85
10583,362475006180,Yes,3624750,113,High,585,45.00999832,13.8,285,336,0.4589371981,0.4589371981,0.9420289855,1,NEW YORK,36,40,171,0,7,106,46,0,12,46,160,1,11,24,0,26363,40.50417174,45,50.59406569,50
10584,362475006208,Yes,3624750,59,High,748,65,12.5,414,401,0.5079754601,0.5079754601,0.917791411,1,NEW YORK,36,55,126,0,4,64,43,0,15,36,117,1,4,18,0,26363,40.50417174,60,50.59406569,65
10585,362475006216,Yes,3624750,367,High,1662,133.4400024,13.8,945,893,0.5141458107,0.5141458107,0.9042437432,1,NEW YORK,36,49,438,1,22,274,107,0,34,102,394,0,28,49,0,26363,40.50417174,66,50.59406569,68
10586,362475006250,Yes,3624750,52,High,527,55.61999893,10.3,571,0,1,1,0.9229422067,1,NEW YORK,36,55,64,0,0,45,12,0,7,18,54,0,3,5,0,26363,40.50417174,70,50.59406569,70
10587,360012504241,Not Applicable,3600125,307,High,320,118.4800034,15,920,860,0.5168539326,0.5168539326,0.1797752809,1,NEW YORK,36,97,318,1,2,10,16,3,286,53,60,0,5,1,1,22791,40.50417174,85,50.59406569,95
10588,360001201092,Yes,3600012,44,High,190,38.34000015,10.2,207,184,0.5294117647,0.5294117647,0.4859335038,1,NEW YORK,36,90,53,0,0,0,1,0,52,6,26,0,1,0,1,22716,42,80,40,90
10589,360270000046,Yes,3602700,46,High,89,25.31999969,11.4,149,140,0.5155709343,0.5155709343,0.3079584775,1,NEW YORK,36,90,48,0,3,0,0,0,45,2,16,0,0,0,1,19465,40.50417174,90,50.59406569,90
10590,363048004099,Yes,3630480,109,High,291,52.02000046,12.7,311,348,0.4719271624,0.4719271624,0.4415781487,1,NEW YORK,36,85,107,0,4,1,3,1,98,18,53,0,0,0,1,20846,40.50417174,95,50.59406569,95
10591,363201000050,Yes,3632010,67,High,104,16.01000023,16.2,155,104,0.5984555985,0.5984555985,0.4015444015,1,NEW YORK,36,85,66,1,1,1,2,0,61,11,29,0,0,0,1,22788,40.50417174,90,50.59406569,85
10592,360240000011,Yes,3602400,37,High,119,27.02000046,9.1,123,124,0.4979757085,0.4979757085,0.4817813765,1,NEW YORK,36,70,33,0,0,1,0,0,32,4,21,1,0,0,1,25991,40.50417174,90,50.59406569,90
10593,360381000123,Not Applicable,3603810,71,High,168,32.40000153,11,180,175,0.5070422535,0.5070422535,0.4732394366,1,NEW YORK,36,90,61,0,0,0,3,3,55,3,24,0,1,0,1,21197,40.50417174,95,50.59406569,95
10594,361275001052,Not Applicable,3612750,75,High,124,23.02000046,12.6,150,139,0.5190311419,0.5190311419,0.4290657439,1,NEW YORK,36,90,69,0,1,1,1,0,66,11,34,0,0,0,1,23276,40.50417174,90,50.59406569,90
10595,362133003039,Yes,3621330,146,High,264,41.02000046,12.6,274,243,0.5299806576,0.5299806576,0.5106382979,1,NEW YORK,36,85,142,1,3,4,6,0,128,18,75,0,5,0,1,20448,40.50417174,90,50.59406569,85
10596,362226003143,Not Applicable,3622260,50,High,125,19,11.6,108,112,0.4909090909,0.4909090909,0.5681818182,1,NEW YORK,36,90,54,2,0,1,1,0,50,11,37,0,0,0,1,22671,40.50417174,90,50.59406569,90
10597,362670003645,Not Applicable,3626700,93,High,184,33.02000046,11.7,201,186,0.519379845,0.519379845,0.4754521964,1,NEW YORK,36,85,97,0,1,1,0,0,95,20,51,0,1,0,1,22394,40.50417174,95,50.59406569,90
